Lbc_km,Y0,ed,N,mu,nu,omega,p_mu,p_nu,p_omega,key_rate
20,2.008733065360308e-06,0.011475747433461681,98136524994,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013245883787676733
20,2.2926676054189445e-07,0.019056569694356842,37176624327,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011621556051565996
20,2.43952944044305e-07,0.01455955286545672,857337762278,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012560877235983597
20,4.082439083689386e-08,0.0050276474092349885,6251249707196,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014838830029874763
20,7.181357614072925e-07,0.005116649741537963,156401345195,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01481471735876302
20,2.022566355319028e-06,0.014433805678169313,1516465253247,0.8,0.2,0.02,0.85,0.0075,0.1425,0.012588020387118013
20,2.9421399654273194e-08,0.015594410644995328,768669566906,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012339014502662744
20,1.0827700606245374e-06,0.01640134755085238,85006255442,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012168457626787373
20,1.931901765137881e-06,0.009201325770325838,86309887090729,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013778320343667766
20,2.30406555994182e-08,0.018255770281160846,14527420255,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011784352013284144
20,5.8847423776486455e-08,0.012891528631437027,2120629183636,0.8,0.2,0.02,0.85,0.0075,0.1425,0.012926694783520085
20,1.544205002688893e-07,0.006530475923406066,102431219508,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014441772947313589
20,7.082547756501212e-08,0.016328342818380973,43161576673509,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012183842903494493
20,6.112653053198429e-07,0.005531764485365412,14755226705390,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014703342738726997
20,8.256800636459539e-08,0.010098356096243651,1320510170842,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01356525757811879
20,5.586517232142803e-08,0.018799671317860544,45104412811,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.0116735916040897
20,1.755865321290662e-07,0.009345379242608087,1200428807143,0.8,0.2,0.02,0.85,0.0075,0.1425,0.013743851674699027
20,5.271635928713979e-07,0.01440709533657264,1335067473859,0.8,0.2,0.02,0.85,0.0075,0.1425,0.012593869747660205
20,1.707707583457035e-07,0.01451891018564699,410819931982,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012569670418063105
